127.0.0.1 - - [12/Aug/2015:09:36:48 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:36:52 +0530] "GET /ODLPerformance/ HTTP/1.1" 200 6967
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:36:52 +0530] "GET /ODLPerformance/lib/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:36:52 +0530] "GET /ODLPerformance/lib/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:36:52 +0530] "GET /ODLPerformance/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:36:52 +0530] "GET /ODLPerformance/lib/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:36:52 +0530] "GET /ODLPerformance/lib/js/jquery-1.9.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:36:52 +0530] "GET /ODLPerformance/lib/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:36:52 +0530] "GET /ODLPerformance/js/home.js HTTP/1.1" 200 6877
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:36:52 +0530] "GET /ODLPerformance/images/tel_logo_white.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:36:52 +0530] "GET /ODLPerformance/images/result.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:36:52 +0530] "GET /ODLPerformance/lib/js/canvasjs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:37:01 +0530] "GET /ODLPerformance/ HTTP/1.1" 200 6967
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:37:01 +0530] "GET /ODLPerformance/css/home.css HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:37:01 +0530] "GET /ODLPerformance/lib/css/jquery-ui.css HTTP/1.1" 200 35348
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:37:01 +0530] "GET /ODLPerformance/lib/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:37:01 +0530] "GET /ODLPerformance/js/home.js HTTP/1.1" 200 6877
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:37:01 +0530] "GET /ODLPerformance/lib/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:37:01 +0530] "GET /ODLPerformance/images/tel_logo_white.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:37:01 +0530] "GET /ODLPerformance/lib/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:37:01 +0530] "GET /ODLPerformance/images/result.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:37:01 +0530] "GET /ODLPerformance/lib/js/canvasjs.min.js HTTP/1.1" 200 230206
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:37:01 +0530] "GET /ODLPerformance/lib/js/jquery-ui.js HTTP/1.1" 200 436714
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:37:01 +0530] "GET /ODLPerformance/images/tel_logo_white.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:37:01 +0530] "GET /ODLPerformance/images/result.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:37:01 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:39:34 +0530] "POST /ODLPerformance/rest/odlPer/testodlPerformance HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:39:37 +0530] "GET /ODLPerformance/images/results1234567890.png HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:57:18 +0530] "GET /ODLPerformance/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:57:18 +0530] "GET /ODLPerformance/images/tel_logo_white.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [12/Aug/2015:09:57:18 +0530] "GET /ODLPerformance/images/result.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [12/Aug/2015:10:01:18 +0530] "POST /ODLPerformance/rest/odlPer/testodlPerformance HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [12/Aug/2015:10:01:20 +0530] "GET /ODLPerformance/images/results1234567890.png HTTP/1.1" 404 1037
