run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,790.84,790.84,790.84,1437539511,1437540411,localhost,2015-07-22 04:46:51 2015 UTC,32,100000,1,900000,0,0,496,489,8,1,1.51,1.07,0.50,OpenDaylight,1572,1572
1,691.56,910.92,815.87,1437541764,1437541865,localhost,2015-07-22 05:11:05 2015 UTC,32,100000,10,10000,0,0,496,477,18,1,0.11,0.10,0.43,OpenDaylight,1776,1776
2,702.17,806.29,743.97,1437541871,1437541973,localhost,2015-07-22 05:12:53 2015 UTC,32,100000,10,10000,0,0,496,475,20,1,2.21,0.90,0.69,OpenDaylight,1786,1786
3,696.63,795.79,761.93,1437541978,1437542080,localhost,2015-07-22 05:14:40 2015 UTC,32,100000,10,10000,0,0,496,474,22,1,1.96,1.27,0.85,OpenDaylight,1786,1786
4,661.07,716.58,699.64,1437542085,1437542187,localhost,2015-07-22 05:16:27 2015 UTC,32,100000,10,10000,0,0,496,475,21,1,1.87,1.45,0.96,OpenDaylight,1786,1786
5,634.55,702.57,682.88,1437542193,1437542294,localhost,2015-07-22 05:18:14 2015 UTC,32,100000,10,10000,0,0,496,475,20,1,2.30,1.71,1.11,OpenDaylight,1786,1786
6,573.92,696.54,677.24,1437542299,1437542401,localhost,2015-07-22 05:20:01 2015 UTC,32,100000,10,10000,0,0,496,475,20,1,2.25,1.87,1.23,OpenDaylight,1786,1786
7,677.60,683.66,681.43,1437542407,1437542508,localhost,2015-07-22 05:21:48 2015 UTC,32,100000,10,10000,0,0,496,474,21,1,2.38,2.06,1.37,OpenDaylight,1787,1787
8,646.24,680.09,668.54,1437542514,1437542615,localhost,2015-07-22 05:23:35 2015 UTC,32,100000,10,10000,0,0,496,474,21,1,2.19,2.07,1.45,OpenDaylight,1787,1787
9,657.06,670.74,665.89,1437542621,1437542722,localhost,2015-07-22 05:25:22 2015 UTC,32,100000,10,10000,0,0,496,474,21,1,2.26,2.11,1.53,OpenDaylight,1787,1787
10,631.38,666.62,647.04,1437542728,1437542829,localhost,2015-07-22 05:27:09 2015 UTC,32,100000,10,10000,0,0,496,475,20,1,1.88,2.03,1.57,OpenDaylight,1787,1787
11,608.94,653.00,639.61,1437542835,1437542936,localhost,2015-07-22 05:28:56 2015 UTC,32,100000,10,10000,0,0,496,475,21,1,2.11,2.10,1.64,OpenDaylight,1787,1787
12,164.46,656.84,573.14,1437542942,1437543043,localhost,2015-07-22 05:30:43 2015 UTC,32,100000,10,10000,0,0,496,473,22,1,2.23,2.22,1.74,OpenDaylight,1787,1787
13,629.90,636.88,633.66,1437543053,1437543155,localhost,2015-07-22 05:32:35 2015 UTC,32,100000,10,10000,0,0,496,480,16,1,2.61,2.27,1.81,OpenDaylight,1795,1795
14,514.33,651.82,613.15,1437543163,1437543264,localhost,2015-07-22 05:34:24 2015 UTC,32,100000,10,10000,0,0,496,478,17,1,2.02,2.19,1.84,OpenDaylight,1809,1809
15,619.71,626.95,623.39,1437543272,1437543373,localhost,2015-07-22 05:36:13 2015 UTC,32,100000,10,10000,0,0,496,476,19,1,2.28,2.22,1.89,OpenDaylight,1820,1820
16,624.99,641.91,636.35,1437543379,1437543480,localhost,2015-07-22 05:38:00 2015 UTC,32,100000,10,10000,0,0,496,474,21,1,1.90,2.13,1.89,OpenDaylight,1821,1821
17,587.46,641.59,626.24,1437543486,1437543587,localhost,2015-07-22 05:39:47 2015 UTC,32,100000,10,10000,0,0,496,473,22,1,2.36,2.20,1.94,OpenDaylight,1822,1822
18,549.47,621.64,608.82,1437543594,1437543695,localhost,2015-07-22 05:41:35 2015 UTC,32,100000,10,10000,0,0,496,475,21,1,2.44,2.28,2.00,OpenDaylight,1822,1822
19,616.66,631.77,620.82,1437543701,1437543802,localhost,2015-07-22 05:43:22 2015 UTC,32,100000,10,10000,0,0,496,475,21,1,2.06,2.20,2.00,OpenDaylight,1822,1822
20,533.72,614.45,583.57,1437543808,1437543909,localhost,2015-07-22 05:45:09 2015 UTC,32,100000,10,10000,0,0,496,475,21,1,2.50,2.31,2.06,OpenDaylight,1822,1822
21,571.36,597.49,585.66,1437543915,1437544016,localhost,2015-07-22 05:46:56 2015 UTC,32,100000,10,10000,0,0,496,475,20,1,2.41,2.34,2.10,OpenDaylight,1822,1822
